cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
68719143,[3-[1-(Dimethylamino)ethyl]-2-propylphenyl] carbamate,SCHEMBL3628171,250.340,C14H22N2O2,55.600,269.000,NULL,18,1,3,6,AJKCRGBXFADJME-UHFFFAOYSA-N,[3-[1-(dimethylamino)ethyl]-2-propylphenyl] carbamate,NULL,1040,2,NULL,20121130,NULL
68819440,"[3-[3-Hydroxy-1-[methyl-[(2-methylpropan-2-yl)oxycarbonyl]amino]propyl]phenyl] N,N-dimethylcarbamate",SCHEMBL3866063,352.400,C18H28N2O5,79.300,447.000,NULL,25,1,5,8,LTSROFRNOSAADY-UHFFFAOYSA-N,"[3-[3-hydroxy-1-[methyl-[(2-methylpropan-2-yl)oxycarbonyl]amino]propyl]phenyl] N,N-dimethylcarbamate",NULL,1040,2,NULL,20121130,NULL
68820337,"[3-[4-(4-Fluorophenyl)-1-[methyl-[(2-methylpropan-2-yl)oxycarbonyl]amino]butyl]phenyl] N,N-dimethylcarbamate",SCHEMBL3868374,444.500,C25H33FN2O4,59.100,599.000,NULL,32,0,5,10,KWZXSNCPKCLIDQ-UHFFFAOYSA-N,"[3-[4-(4-fluorophenyl)-1-[methyl-[(2-methylpropan-2-yl)oxycarbonyl]amino]butyl]phenyl] N,N-dimethylcarbamate",NULL,1040,2,NULL,20121130,NULL
68821656,"[3-[4-(4-Fluorophenyl)-1-[methyl-[(2-methylpropan-2-yl)oxycarbonyl]amino]but-3-enyl]phenyl] N,N-dimethylcarbamate",SCHEMBL3872028,442.500,C25H31FN2O4,59.100,638.000,NULL,32,0,5,9,YNTJMZGUTSETLB-UHFFFAOYSA-N,"[3-[4-(4-fluorophenyl)-1-[methyl-[(2-methylpropan-2-yl)oxycarbonyl]amino]but-3-enyl]phenyl] N,N-dimethylcarbamate",NULL,1040,2,NULL,20121130,NULL
68827953,[3-[2-(Dimethylamino)ethyl]phenyl] N-ethyl-N-methylcarbamate,SCHEMBL3889524,250.340,C14H22N2O2,32.800,256.000,2.400,18,0,3,6,FKPSQAJACLSIGN-UHFFFAOYSA-N,[3-[2-(dimethylamino)ethyl]phenyl] N-ethyl-N-methylcarbamate,NULL,1040,2,NULL,20121130,NULL
69484341,[3-[(1S)-1-(Dimethylamino)-1-iodoethyl]phenyl] N-propylcarbamate,SCHEMBL5551438,376.230,C14H21IN2O2,41.600,299.000,NULL,19,1,3,6,FEPMOUMXGFYKJJ-CQSZACIVSA-N,[3-[(1S)-1-(dimethylamino)-1-iodoethyl]phenyl] N-propylcarbamate,NULL,1024,1,NULL,20121201,NULL
69760559,[3-[(1S)-1-(Dimethylamino)ethyl]phenyl] N-ethyl-N-methylcarbamate,SCHEMBL6382629,500.700,C28H44N4O4,65.600,269.000,NULL,36,0,6,10,JVAKHHJIPBPNDX-QHUNOZLZSA-N,[3-[(1S)-1-(dimethylamino)ethyl]phenyl] N-ethyl-N-methylcarbamate,NULL,1024,1,NULL,20121201,NULL
70266158,"[2-[1-(Azetidin-1-yl)ethyl]phenyl] N,N-dimethylcarbamate",SCHEMBL8058253,248.320,C14H20N2O2,32.800,290.000,NULL,18,0,3,4,XLBPFYAYRAJONW-UHFFFAOYSA-N,"[2-[1-(azetidin-1-yl)ethyl]phenyl] N,N-dimethylcarbamate",NULL,1040,2,NULL,20121201,NULL
70298502,[3-[(1S)-1-(Dimethylamino)ethyl]phenyl] hydrogen carbonate,SCHEMBL8191585,209.240,C11H15NO3,49.800,218.000,NULL,15,1,4,4,NVHIOUIDWSIOOB-QMMMGPOBSA-N,[3-[(1S)-1-(dimethylamino)ethyl]phenyl] hydrogen carbonate,NULL,1024,1,NULL,20121201,NULL
70301425,[3-[(1R)-1-(Dimethylamino)ethyl]phenyl] hydrogen carbonate,SCHEMBL8201572,209.240,C11H15NO3,49.800,218.000,NULL,15,1,4,4,NVHIOUIDWSIOOB-MRVPVSSYSA-N,[3-[(1R)-1-(dimethylamino)ethyl]phenyl] hydrogen carbonate,NULL,1024,1,NULL,20121201,NULL
