cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
11309472,Benzene-13C6,"Benzene-13C6|32488-44-1|BENZENE (13C6)|Benzene-13C6,d6|Benzene-1,2,3,4,5,6-13C6|MFCD00083904|Benzene-13C6, 99 atom % 13C|AKOS015889173|32602-97-4",84.068,C6H6,0.000,15.500,2.100,6,0,0,0,UHOVQNZJYSORNB-IDEBNGHGSA-N,"(1,2,3,4,5,6-13C6)cyclohexatriene",NULL,5392,4,NULL,20061026,10.1007/978-3-662-47395-5_9|10.1063/1.1948368|10.1140/epje/i2006-10066-4
11311507,Phenylselanylmagnesium(1+);bromide,bromomagnesium selenophenoxide,260.279,C6H5BrMgSe,0.000,64.099,NULL,9,0,1,1,GEGYDQRBIKQXAU-UHFFFAOYSA-L,phenylselanylmagnesium(1+);bromide,NULL,256,1,NULL,20061026,10.1007/978-3-642-73241-6_2|10.1007/BF00773816|10.1007/BF00773817
11311508,Phenylselanylmagnesium(1+),NULL,180.380,C6H5MgSe+,0.000,59.500,NULL,8,0,0,0,WKVBLIGZPGKSGV-UHFFFAOYSA-M,phenylselanylmagnesium(1+),NULL,,,NULL,20061026,NULL
11321804,Phenyltellanyllithium,lithium tellurophenoxide,211.700,C6H5LiTe,0.000,59.500,NULL,8,0,0,0,LQCNLLFIIJIRKM-UHFFFAOYSA-M,phenyltellanyllithium,NULL,1296,3,NULL,20061026,10.1007/BF00509758|10.1007/BF00509759|10.1007/BF01165022|10.1007/s11178-005-0024-2|10.1023/B:COHC.0000044566.80256.23
11332416,Benzene-d5,"Benzene-d5|13657-09-5|Benzene-d5, 99 atom % D|DTXSID70462530|AKOS015910218|J-006867|I14-39802",83.140,C6H6,0.000,15.500,2.100,6,0,0,0,UHOVQNZJYSORNB-RALIUCGRSA-N,"1,2,3,4,5-pentadeuteriobenzene",NULL,5904,5,NULL,20061026,10.1007/10044098_17|10.1007/10044098_18|10.1007/10057766_33|10.1007/10057766_45|10.1007/10333382_17|10.1007/10333382_18|10.1007/10369757_66|10.1007/978-3-642-67054-1_22|10.1007/978-3-642-75430-2_4|10.1007/978-3-642-88220-3_1|10.1007/978-3-662-01665-7_20|10.1007/BF00566857|10.1007/s00216-003-2457-1|10.1007/s10886-012-0183-x|10.1007/s12539-009-0030-0|10.1063/1.1948368|10.1140/epje/i2006-10066-4
11346033,Sec-Butylphenyl telluride,NULL,261.800,C10H14Te,0.000,95.000,NULL,11,0,0,3,VMBRNFJZZOCYDC-UHFFFAOYSA-N,butan-2-yltellanylbenzene,NULL,,,NULL,20061026,NULL
11347684,Fluoro(phenyl)iodanium,NULL,223.010,C6H5FI+,0.000,59.500,NULL,8,0,1,0,ISQKYVWYTUMTRP-UHFFFAOYSA-N,fluoro(phenyl)iodanium,NULL,,,NULL,20061026,NULL
11355299,Dichloro(phenyl)tin,SCHEMBL9849383|SCHEMBL6520743,266.700,C6H5Cl2Sn,0.000,79.100,NULL,9,0,0,0,WBDIPKJFSYOAHL-UHFFFAOYSA-L,dichloro(phenyl)tin,NULL,,,NULL,20061026,NULL
11356029,1-(Phenylseleno)allene,phenylselanylpropadiene,195.130,C9H8Se,0.000,128.000,NULL,10,0,0,2,VJKNLUQIEBYPRM-UHFFFAOYSA-N,"propa-1,2-dienylselanylbenzene",NULL,256,1,NULL,20061026,10.1134/S1070363213090065|10.1134/S1070428012120135|10.1134/S1070428017100049
11366837,(Phenyl-lambda3-silanylidene)ruthenium(1+),NULL,206.300,C6H5RuSi+,0.000,76.600,NULL,8,0,0,0,ZXHUTHGWSOYCOZ-UHFFFAOYSA-N,(phenyl-lambda3-silanylidene)ruthenium(1+),NULL,,,NULL,20061026,NULL
