cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
56967862,"(1S,4R,6S,7Z,14S,18R)-14-Amino-N-(1-methylcyclopropyl)sulfonyl-2,15-dioxo-18-[[2-(4-propan-2-yl-1,3-thiazol-2-yl)-5,6,7,8-tetrahydroquinazolin-4-yl]oxy]-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-ene-4-carboxamide",SCHEMBL2632554,740.000,C36H49N7O6S2,223.000,1470.000,NULL,51,3,11,7,AQOVZVUTFBWECW-WFFWTVAOSA-N,"(1S,4R,6S,7Z,14S,18R)-14-amino-N-(1-methylcyclopropyl)sulfonyl-2,15-dioxo-18-[[2-(4-propan-2-yl-1,3-thiazol-2-yl)-5,6,7,8-tetrahydroquinazolin-4-yl]oxy]-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-ene-4-carboxamide",NULL,1040,2,NULL,20120528,NULL
57579101,"Cyclopentyl N-[(2S)-1-[(2S,4R)-4-(2-anilino-6-chloropyrimidin-4-yl)oxy-2-[[(1R,2R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927394,774.300,C36H48ClN7O8S,206.000,1460.000,NULL,53,4,11,15,ADQKMLLKSXEVBV-SZJNQJTLSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-4-(2-anilino-6-chloropyrimidin-4-yl)oxy-2-[[(1R,2R)-1-(cyclopropylsulfonylcarbamoyl)-2-ethylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579103,"(1S,4R,6R,7Z,14S,18R)-18-[2-(4-Fluoroanilino)-6-pyrrolidin-1-ylpyrimidin-4-yl]oxy-14-[(2-methylpropan-2-yl)oxycarbonylamino]-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-ene-4-carboxylic acid",NULL,721.800,C37H48FN7O7,175.000,1320.000,NULL,52,4,12,9,ATAPFQGSGIRWHU-VGNGHJMDSA-N,"(1S,4R,6R,7Z,14S,18R)-18-[2-(4-fluoroanilino)-6-pyrrolidin-1-ylpyrimidin-4-yl]oxy-14-[(2-methylpropan-2-yl)oxycarbonylamino]-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-ene-4-carboxylic acid",NULL,1040,2,NULL,20120819,NULL
57579107,"Tert-butyl N-[(1S,4R,6R,7Z,14S,18R)-4-(cyclopropylsulfonylcarbamoyl)-18-[2-(4-fluoroanilino)-6-pyrrolidin-1-ylpyrimidin-4-yl]oxy-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-en-14-yl]carbamate",NULL,825.000,C40H53FN8O8S,210.000,1640.000,NULL,58,4,13,11,BDAAAMVBLOJHPD-PQIZIMJRSA-N,"tert-butyl N-[(1S,4R,6R,7Z,14S,18R)-4-(cyclopropylsulfonylcarbamoyl)-18-[2-(4-fluoroanilino)-6-pyrrolidin-1-ylpyrimidin-4-yl]oxy-2,15-dioxo-3,16-diazatricyclo[14.3.0.04,6]nonadec-7-en-14-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579108,"Cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[6-[(1-methyl-2,3-dihydrotetrazol-5-yl)sulfanyl]-2-methylsulfanylpyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927451,809.000,C33H48N10O8S3,285.000,1600.000,NULL,54,5,15,16,POWQSIOTPPBDCB-XMNIUZKNSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[6-[(1-methyl-2,3-dihydrotetrazol-5-yl)sulfanyl]-2-methylsulfanylpyrimidin-4-yl]oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579111,"Cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-(4,6-dichloropyrimidin-2-yl)oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927433,715.600,C30H40Cl2N6O8S,194.000,1340.000,NULL,47,3,10,13,VRANJBQNJHBPCO-OAKPOBFCSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-(4,6-dichloropyrimidin-2-yl)oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579115,"Cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-(2,6-dichloropyrimidin-4-yl)oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927431,715.600,C30H40Cl2N6O8S,194.000,1350.000,NULL,47,3,10,13,IGEFPYZTJXNGFD-OAKPOBFCSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-(2,6-dichloropyrimidin-4-yl)oxypyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579116,"Cyclopentyl N-[(2S)-1-[(2S,4R)-4-[4-chloro-6-(4-fluoroanilino)pyrimidin-2-yl]oxy-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927384,790.300,C36H45ClFN7O8S,206.000,1530.000,NULL,54,4,12,15,GEQPGSFWUBZLKF-YZBGAJHWSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-4-[4-chloro-6-(4-fluoroanilino)pyrimidin-2-yl]oxy-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579125,"Cyclopentyl N-[(2S)-1-[(2S,4R)-4-(6-chloro-2-methylsulfanylpyrimidin-4-yl)oxy-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927449,727.300,C31H43ClN6O8S2,220.000,1370.000,NULL,48,3,11,14,UFFHRQACYCLARD-UCCDSDEPSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-4-(6-chloro-2-methylsulfanylpyrimidin-4-yl)oxy-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
57579130,"Cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[(4,6-dichloro-1,3,5-triazin-2-yl)oxy]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",SCHEMBL13927456,716.600,C29H39Cl2N7O8S,207.000,1340.000,NULL,47,3,11,13,FKSAHGNAXQZAAA-TYCQEGRSSA-N,"cyclopentyl N-[(2S)-1-[(2S,4R)-2-[[(1R,2S)-1-(cyclopropylsulfonylcarbamoyl)-2-ethenylcyclopropyl]carbamoyl]-4-[(4,6-dichloro-1,3,5-triazin-2-yl)oxy]pyrrolidin-1-yl]-3,3-dimethyl-1-oxobutan-2-yl]carbamate",NULL,1040,2,NULL,20120819,NULL
